celltype,contrast,symbol,mean_A,mean_B,delta_log,n_A,n_B,welch_p,note,bh_q
Schwann,CCI_vs_Sham,CHL1,0.521521806716919,0.39107969403266907,0.13044211268424988,2,2,0.16501988470554352,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,FLNC,0.022340789437294006,0.0017081815749406815,0.020632607862353325,2,2,0.27128493785858154,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,RNF19B,0.32526695728302,0.28598877787590027,0.03927817940711975,2,2,0.42912501096725464,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,SRRM4,0.15102291107177734,0.12513260543346405,0.025890305638313293,2,2,0.21703152358531952,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,ECEL1,0.08474321663379669,0.0037955620791763067,0.08094765245914459,2,2,0.19726446270942688,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,FLRT3,0.3507140278816223,0.18801918625831604,0.16269484162330627,2,2,0.11531812697649002,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,PTPN23,0.13837209343910217,0.128281369805336,0.010090723633766174,2,2,0.05210891738533974,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,MAPK14,0.3460429310798645,0.3022843599319458,0.0437585711479187,2,2,0.08421804755926132,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,VASH2,0.032800640910863876,0.037657447159290314,-0.004856806248426437,2,2,0.6312020421028137,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,TNIK,0.2318061739206314,0.14532095193862915,0.08648522198200226,2,2,0.3332940936088562,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,WDR81,0.07927454262971878,0.07112060487270355,0.008153937757015228,2,2,0.6324451565742493,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,CCDC160,0.04522498697042465,0.04685080051422119,-0.0016258135437965393,2,2,0.9133070707321167,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,SLC2A1,0.1744341254234314,0.15185342729091644,0.022580698132514954,2,2,0.579078733921051,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,ANKRD13B,0.19049641489982605,0.1696833372116089,0.020813077688217163,2,2,0.448660671710968,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,NPY,0.030559618026018143,0.0025093143340200186,0.02805030345916748,2,2,0.20035189390182495,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,AXL,0.0698007196187973,0.04235761985182762,0.02744309976696968,2,2,0.11986204981803894,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,SERPINE1,0.004781057592481375,0.00017407456471119076,0.004606983158737421,2,2,0.27813106775283813,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,WBP1L,0.09454229474067688,0.08417253196239471,0.010369762778282166,2,2,0.44505584239959717,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,ITPKC,0.04324693977832794,0.03460228070616722,0.00864465907216072,2,2,0.3863527476787567,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,ACVR1,0.12018731236457825,0.1071760281920433,0.013011284172534943,2,2,0.25193023681640625,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,LNP1,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,AGRN,0.14848726987838745,0.15289843082427979,-0.004411160945892334,2,2,0.7672728896141052,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,VIP,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,REG3B,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,TNS3,0.2002074420452118,0.16818049550056458,0.03202694654464722,2,2,0.208273246884346,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,ANKRD1,0.0010490105487406254,0.0,0.0010490105487406254,2,2,0.4999999701976776,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,CTTN,0.4062863886356354,0.3740021884441376,0.0322842001914978,2,2,0.640698254108429,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,RUBCN,0.1678924560546875,0.15648528933525085,0.011407166719436646,2,2,0.5861431956291199,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,MEGF11,0.005044654011726379,0.00769364507868886,-0.0026489910669624805,2,2,0.45393800735473633,n=2v2 sample-level; descriptive only,
