chembl_id,affinity,n_modes,rmsd_lb,rmsd_ub,sec,rc,err,symbol,tag,exh,max_evals
CHEMBL1200389,-7.124,3,0.0,0.0,5.29,0,,ACVR1,t2_other,1,0
CHEMBL1200391,-3.72,2,0.0,0.0,6.03,0,,ACVR1,t2_other,1,0
CHEMBL1200392,-7.547,2,0.0,0.0,10.75,0,,ACVR1,t2_other,1,0
CHEMBL1200393,-9.335,3,0.0,0.0,12.37,0,,ACVR1,t2_other,1,0
CHEMBL1200395,-7.934,1,0.0,0.0,10.18,0,,ACVR1,t2_other,1,0
CHEMBL1200396,-8.126,3,0.0,0.0,10.33,0,,ACVR1,t2_other,1,0
CHEMBL1200397,-9.307,2,0.0,0.0,12.04,0,,ACVR1,t2_other,1,0
CHEMBL1200398,-8.0,2,0.0,0.0,16.82,0,,ACVR1,t2_other,1,0
CHEMBL1200399,-8.35,3,0.0,0.0,18.99,0,,ACVR1,t2_other,1,0
CHEMBL1200400,-6.173,3,0.0,0.0,8.0,0,,ACVR1,t2_other,1,0
CHEMBL1200402,-6.673,1,0.0,0.0,29.0,0,,ACVR1,t2_other,1,0
CHEMBL1200405,-8.77,1,0.0,0.0,47.31,0,,ACVR1,t2_other,1,0
CHEMBL1200409,-6.53,2,0.0,0.0,8.13,0,,ACVR1,t2_other,1,0
CHEMBL1200410,-7.167,1,0.0,0.0,7.82,0,,ACVR1,t2_other,1,0
CHEMBL1200411,-7.139,2,0.0,0.0,11.06,0,,ACVR1,t2_other,1,0
CHEMBL1200412,-9.916,2,0.0,0.0,17.06,0,,ACVR1,t2_other,1,0
CHEMBL1200413,-7.339,2,0.0,0.0,4.27,0,,ACVR1,t2_other,1,0
CHEMBL1200418,-7.98,2,0.0,0.0,19.93,0,,ACVR1,t2_other,1,0
CHEMBL1200419,-7.535,3,0.0,0.0,7.76,0,,ACVR1,t2_other,1,0
CHEMBL1200420,-8.233,2,0.0,0.0,7.74,0,,ACVR1,t2_other,1,0
CHEMBL1200423,-6.723,2,0.0,0.0,9.06,0,,ACVR1,t2_other,1,0
CHEMBL1200425,-6.018,2,0.0,0.0,4.67,0,,ACVR1,t2_other,1,0
CHEMBL1200426,-9.411,2,0.0,0.0,8.79,0,,ACVR1,t2_other,1,0
CHEMBL1200430,-9.279,3,0.0,0.0,7.2,0,,ACVR1,t2_other,1,0
CHEMBL1200432,-6.436,2,0.0,0.0,11.45,0,,ACVR1,t2_other,1,0
CHEMBL1200434,-3.181,2,0.0,0.0,3.53,0,,ACVR1,t2_other,1,0
CHEMBL1200436,-8.716,2,0.0,0.0,5.16,0,,ACVR1,t2_other,1,0
CHEMBL1200437,-8.167,3,0.0,0.0,12.03,0,,ACVR1,t2_other,1,0
CHEMBL1200438,-7.161,3,0.0,0.0,13.77,0,,ACVR1,t2_other,1,0
CHEMBL1200439,-6.076,2,0.0,0.0,5.63,0,,ACVR1,t2_other,1,0
CHEMBL1200440,-7.806,2,0.0,0.0,6.0,0,,ACVR1,t2_other,1,0
CHEMBL1200444,-6.088,3,0.0,0.0,11.67,0,,ACVR1,t2_other,1,0
CHEMBL1200446,-7.036,1,0.0,0.0,9.92,0,,ACVR1,t2_other,1,0
CHEMBL1200448,-6.205,2,0.0,0.0,9.63,0,,ACVR1,t2_other,1,0
CHEMBL1200449,-7.844,2,0.0,0.0,23.61,0,,ACVR1,t2_other,1,0
CHEMBL1200453,-5.704,3,0.0,0.0,46.53,0,,ACVR1,t2_other,1,0
CHEMBL1200454,-6.471,2,0.0,0.0,26.73,0,,ACVR1,t2_other,1,0
CHEMBL1200455,-6.441,3,0.0,0.0,74.76,0,,ACVR1,t2_other,1,0
CHEMBL1200461,-6.319,3,0.0,0.0,12.55,0,,ACVR1,t2_other,1,0
CHEMBL1200463,-8.539,3,0.0,0.0,12.44,0,,ACVR1,t2_other,1,0
