symbol,K,meta_Z,meta_p,consistency,n_up,n_dn,lfc_GSE267799_SMIR_DRG,lfc_GSE212311_CCI_DRG,lfc_GSE278227_CCI_DRG,lfc_GSE241361_S1R_DRG,lfc_GSE265957_Xtail_DRG_Day4,lfc_GSE265957_Xtail_DRG_Day63,meta_FDR,incision_lfc,concordant_incision
PTPN5,6,7.661346179834125,1.8399415808283642e-14,1.0,6,0,0.8332650902217096,1.1176585851523484,2.0641724354027198,1.366260555096571,0.936818223569891,0.210561591740167,4.2298212563709844e-12,0.8332650902217096,True
SMAD1,6,7.657069667470162,1.9022345577877132e-14,1.0,6,0,0.2579426272302676,0.46231307539347544,1.2022506047637647,1.279965602710453,0.433821792896606,0.157104855909046,4.3042534398206454e-12,0.2579426272302676,True
TNFRSF1A,6,7.655585952606269,1.9243279032547595e-14,1.0,6,0,0.08276046050343755,0.2973701360956591,0.7359731759859747,0.6803487230937693,0.496754478817195,0.0120760792037423,4.3042534398206454e-12,0.08276046050343755,True
GDPD5,6,7.646893217141569,2.058931641619657e-14,1.0,6,0,0.33851805276797453,0.41780678568861696,0.657638734824677,0.3073897842900726,0.124095745105163,0.0035974946462224,4.5439248709451415e-12,0.33851805276797453,True
TPRG1L,4,7.641952690460146,2.139517981678121e-14,1.0,4,0,0.2653684675425687,0.32677143555991073,0.5027926728780283,0.13855376150833187,,,4.659644951675824e-12,0.2653684675425687,True
IL1R1,6,7.6396640069657975,2.177893247049319e-14,1.0,6,0,0.3488249554046545,0.6104897866000147,1.5704599343245076,1.4893827489298301,0.591770492035897,0.244724562804141,4.681621951319523e-12,0.3488249554046545,True
CCDC172,6,7.626811696108028,2.4063067587948206e-14,0.8333333333333334,5,1,0.5102657062769629,0.9393178296819797,1.7211597740950193,0.4195508467983724,0.614057706538614,-0.117446298187282,5.106306342509214e-12,0.5102657062769629,True
SPATA18,4,7.624497787728377,2.4498626780029097e-14,1.0,4,0,0.24990146526609225,0.5347183152795969,1.4735818331378785,0.28525032395126504,,,5.132927474215717e-12,0.24990146526609225,True
VIP,4,7.61605760891077,2.6154099406835162e-14,1.0,4,0,1.5875816153886109,2.067887816601628,5.142724210333087,0.04539199918618052,,,5.411283167274195e-12,1.5875816153886109,True
STMN2,6,7.607509225233063,2.7942858171543773e-14,0.8333333333333334,5,1,0.4528615494342372,0.3403900492626448,0.6102914795831023,1.132865480126945,0.224228952473557,-0.0663689145841263,5.710002326609784e-12,0.4528615494342372,True
CRLF1,6,7.598602062163529,2.993467215714365e-14,1.0,6,0,0.5113300646550152,0.4063678111315112,1.0348280803993068,1.438369611662365,0.731876643825923,0.816738028648524,6.042423092012704e-12,0.5113300646550152,True
PDE6B,5,7.578782444272524,3.488128450376582e-14,1.0,5,0,0.058651215290744574,1.5995436050024836,2.669219201242436,1.8618086356182015,0.368159091928595,,6.956084591642553e-12,0.058651215290744574,True
SERINC2,6,7.5754082079798195,3.580001610853547e-14,1.0,6,0,0.03626615097764718,0.5815772409241915,0.7336190572284753,0.5775416156180171,0.773965511051592,0.228746308547569,7.054307936053323e-12,0.03626615097764718,True
UCK2,6,7.570541510546276,3.7167164117649914e-14,1.0,6,0,0.37389215064611125,0.23669247865736232,0.5728816173867024,0.8816976741544211,0.642503810972749,0.318470152466479,7.237540005592252e-12,0.37389215064611125,True
FAM210B,4,7.561457909272455,3.9857639896698547e-14,1.0,4,0,,0.477965547575661,1.0086931733708067,,0.558997596512684,0.273302856904898,7.671205297327375e-12,,False
GAP43,6,7.553228825691028,4.245980376658734e-14,1.0,6,0,0.35632048247473946,1.003698184381455,1.6713809814405929,2.1316172782627127,0.756258804768403,0.253405726418702,8.078099677523606e-12,0.35632048247473946,True
RNF19B,6,7.537411306443366,4.793924676162185e-14,1.0,6,0,0.37168784204056227,0.2387034466154221,0.8119504785923617,1.2191656467915077,0.640860280773908,0.013119289070031,9.016936504526874e-12,0.37168784204056227,True
HAMP,4,7.533484698122759,4.94038045302206e-14,1.0,4,0,0.16738559042458864,2.7185669152535534,3.087631266473746,0.480187771228462,,,9.18799744476642e-12,0.16738559042458864,True
PVR,6,7.526638332070243,5.206331838750954e-14,1.0,6,0,0.21043255678819062,0.7618329656821636,1.9961877368307999,0.9804324183720099,0.515596926762481,0.0051276474467865,9.575022732778421e-12,0.21043255678819062,True
CLDN23,4,7.517976988166339,5.563029065924798e-14,1.0,4,0,0.2995521067753091,0.41168559351308465,0.8120061249046637,0.6021919096607975,,,1.011859968122937e-11,0.2995521067753091,True
RAB31,6,7.498955047821698,6.432858186369417e-14,1.0,6,0,0.04459186898135403,0.3441868644130408,0.7616833127228322,0.809993186859268,0.735896047072455,0.415140148664017,1.1573550945737672e-11,0.04459186898135403,True
CD44,6,7.486911636394505,7.051314089845162e-14,0.8333333333333334,5,1,0.3139297476452132,0.48540401705399905,0.9896367782587117,0.636855602990205,0.422973240105148,-0.0197585998622661,1.2549822668292163e-11,0.3139297476452132,True
RHOU,4,7.473820793676159,7.789921048990944e-14,1.0,4,0,,,1.0813013349530616,0.4064821451241887,0.135671863860351,0.286309697746051,1.3716890766265756e-11,,False
PAPPA2,6,7.472002596224658,7.898344944446686e-14,1.0,6,0,0.37864014616913755,0.7069097172664627,1.313019509182051,1.5881088281069653,1.02873646192948,0.278257139239845,1.376141110741911e-11,0.37864014616913755,True
SLC38A7,6,7.462669772333795,8.478665987971105e-14,1.0,6,0,0.29137478672560135,0.05234608554191622,0.41015448381355224,0.34206977732442034,0.410275771896011,0.245470358963068,1.4487916018975319e-11,0.29137478672560135,True
ADGRD1,6,7.460898754692852,8.593426702476744e-14,1.0,6,0,0.3277329681672496,0.5932910108908254,1.3564196052158706,1.7600432293520525,1.80681864957811,0.530754721958009,1.4487916018975319e-11,0.3277329681672496,True
PTPRH,4,7.460491537881527,8.620029190991916e-14,1.0,4,0,0.840438405303135,0.6310612573481775,4.992133988367855,0.24924779714912593,,,1.4487916018975319e-11,0.840438405303135,True
RIPOR1,6,7.459799253618755,8.665440344843864e-14,1.0,6,0,0.3019320716312075,0.28651431580077125,0.8178387676924217,0.3110308095710188,0.0622110029469974,0.146157135824829,1.4487916018975319e-11,0.3019320716312075,True
