symbol,K,Z_FE,p_FE,Q,tau2,I2,Z_RE,p_RE,FDR_RE,consistency,meta_FDR,FDR_FE,nerve_injury_consistency,K_nerve_injury,incision_lfc,incision_measured,incision_agreement
MARCHF2,4,-1.343706859787908,0.17904319820889436,2.283272963840118,0.0,0.0,-1.343706859787908,0.17904319820889436,0.4467729723836816,0.75,0.2860529117074969,0.2860529117074968,0.6666666666666666,3,-0.150056318019649,True,1.0
EID2B,5,1.3436688564805963,0.17905549247898833,3.4990360773695786,0.0,0.0,1.3436688564805963,0.17905549247898833,0.4467729723836816,0.6,0.2860529117074969,0.2860529117074968,0.6,5,,False,
IRF9,5,1.3436194756934285,0.17907146836162247,6.869002124437603,0.2586334748336474,41.76737861574765,0.9403665652269788,0.34702956615557,0.6164448786227725,0.6,0.2860529117074969,0.2860529117074968,0.75,4,-0.1096791313630785,True,0.0
CACNB4,6,-1.3436027953445338,0.17907686509866372,7.570405933860677,0.19946511946158288,33.95334353688809,-1.0935476921347322,0.2741534012081345,0.5532496430472249,0.8333333333333334,0.2860529117074969,0.2860529117074968,1.0,5,0.6836551444063996,True,0.0
SLC44A4,4,-1.3434892131350649,0.17911361654578262,1.4077548457683455,0.0,0.0,-1.3434892131350646,0.17911361654578273,0.4467729723836816,0.75,0.2860840085945956,0.2860840085945956,0.6666666666666666,3,-0.2606690007313716,True,1.0
GHRL,3,1.3434094370039964,0.17913943281681588,0.330809680900967,0.0,0.0,1.3434094370039966,0.17913943281681588,0.4467729723836816,1.0,0.2860976352744053,0.2860976352744053,,2,0.1550405422270501,True,1.0
RASAL2,6,1.3431839729823898,0.17921240995576593,3.3581199694455686,0.0,0.0,1.3431839729823896,0.17921240995576582,0.4467729723836816,0.6666666666666666,0.2861605123240996,0.28616051232409906,0.6,5,0.2770321992323143,True,1.0
RNF168,6,-1.3431511791165345,0.1792230263619734,6.074085099911166,0.08334968027555892,17.683076253358294,-1.0537230821656338,0.2920097179412037,0.5696340425884271,0.6666666666666666,0.2861605123240996,0.28616051232409906,0.8,5,0.0224986025472873,True,0.0
PLA2G4F,4,1.3431275724328597,0.17923066887771477,2.153069353844487,0.0,0.0,1.3431275724328595,0.17923066887771488,0.4467729723836816,0.5,0.2861605123240996,0.28616051232409906,0.6666666666666666,3,-0.0173008607175191,True,0.0
CWC25,6,-1.3430023200683454,0.17927122259877537,1.1987902537688677,0.0,0.0,-1.3430023200683452,0.17927122259877548,0.4467729723836816,1.0,0.2861926904689036,0.28619269046890333,1.0,5,-0.0591077056148288,True,1.0
GORASP2,6,1.3429585249275553,0.1792854040280364,4.103679364327584,0.0,0.0,1.342958524927555,0.1792854040280366,0.4467729723836816,0.6666666666666666,0.2861926904689036,0.28619269046890333,0.6,5,0.1094057206992653,True,1.0
TTC27,6,-1.3425258782686,0.17942554539937483,3.9607507849999317,0.0,0.0,-1.3425258782686,0.17942554539937483,0.4469302674869003,0.8333333333333334,0.2863887779605065,0.2863887779605065,1.0,5,0.2735540204659603,True,0.0
POLDIP2,6,-1.3421977437984849,0.17953188784748275,6.291656701625372,0.10023337360807062,20.52967545561868,-0.7755196808065746,0.43803264062130554,0.6916260867656062,0.6666666666666666,0.2865308849340987,0.2865308849340984,0.8,5,-0.0776905173520861,True,1.0
