miRNA,log2FC,t,p,FDR
hsa-miR-148a-5p,0.4163152154238787,1.9381791195334777,0.05749242639672825,0.37253460507420005
hsa-miR-202-5p,0.38666813585618165,1.9387849910530883,0.05784025622218285,0.37253460507420005
hsa-miR-556-3p,0.46957419668444933,1.9346387955575655,0.057926597906586906,0.37253460507420005
hsa-miR-374b-5p,0.30338964616482844,1.935678219149142,0.05817357196353875,0.37253460507420005
hsa-miR-548aq-3p,0.34433505009080256,1.928461954069613,0.05879338017470427,0.3741056483727998
hsa-miR-628-3p,0.30050382451010327,1.9236775292932597,0.059552500592181326,0.37653764614929836
hsa-miR-93-5p,0.17322236520491607,1.914572750841053,0.060584883231279876,0.3772777468035299
hsa-miR-4632-3p,0.262225603440901,1.9165052630258428,0.061053413950636654,0.3772777468035299
hsa-miR-708-3p,0.1186809704363457,1.9169780992789225,0.06137783910308559,0.3772777468035299
hsa-miR-192-3p,0.3325046414352383,1.9049190888788041,0.06181384386678164,0.3772777468035299
hsa-miR-29c-5p,0.25613048058572563,1.9063184995614324,0.06201877317253651,0.3772777468035299
hsa-miR-6855-3p,0.34819063355360225,1.9025112353145672,0.06212458512630066,0.3772777468035299
hsa-let-7g-5p,-0.15513276718552937,-1.9007125947800612,0.062313141363946375,0.3772777468035299
hsa-miR-181a-3p,0.26371203283968514,1.8969362176194684,0.06281970314847149,0.3780535147308616
hsa-miR-30b-5p,0.3839505634648006,1.8851424035852435,0.06460990046784527,0.37836879782548083
hsa-miR-1250-5p,0.2445929544833989,1.8860117312206757,0.06484562130051687,0.37836879782548083
hsa-miR-27a-5p,0.3244139303626268,1.883208173187447,0.06493181492072195,0.37836879782548083
hsa-miR-9-5p,0.6050323899537391,1.880378299871753,0.06538996509628305,0.37836879782548083
hsa-miR-30c-5p,0.24875342524560295,1.8775655218401328,0.06598326509318551,0.37836879782548083
hsa-miR-3158-3p,-0.44203356509898084,-1.8694921185225846,0.06688371750900829,0.37836879782548083
hsa-miR-200a-3p,0.41986696100483556,1.865935436157013,0.06711804259774214,0.37836879782548083
hsa-miR-6774-3p,0.13341057615892346,1.8807572422283012,0.06728520140907505,0.37836879782548083
hsa-miR-616-3p,0.2837768414938921,1.8662344402804156,0.06743499380537735,0.37836879782548083
hsa-miR-22-5p,0.33142590292797314,1.8635971874373682,0.06750323628878806,0.37836879782548083
hsa-miR-1284,0.3683387565280678,1.8647131708954068,0.06756564469680082,0.37836879782548083
hsa-miR-4999-3p,0.21431903293085067,1.8765272064055876,0.06771719253413024,0.37836879782548083
