chembl_id,affinity,n_modes,rmsd_lb,rmsd_ub,sec,rc,err,symbol,tag,exh,max_evals
CHEMBL169901,-6.782,2,0.0,0.0,5.0,0,,ACVR1,t1_cns,1,0
CHEMBL17157,-10.48,1,0.0,0.0,50.14,0,,ACVR1,t1_cns,1,0
CHEMBL1726,-6.677,2,0.0,0.0,23.89,0,,ACVR1,t1_cns,1,0
CHEMBL1729,-8.186,2,0.0,0.0,39.85,0,,ACVR1,t1_cns,1,0
CHEMBL1732,-9.771,3,0.0,0.0,49.58,0,,ACVR1,t1_cns,1,0
CHEMBL1742423,-8.788,2,0.0,0.0,45.28,0,,ACVR1,t1_cns,1,0
CHEMBL1742466,-7.769,3,0.0,0.0,87.22,0,,ACVR1,t1_cns,1,0
CHEMBL1742471,-7.613,3,0.0,0.0,33.46,0,,ACVR1,t1_cns,1,0
CHEMBL1752,-6.414,3,0.0,0.0,11.17,0,,ACVR1,t1_cns,1,0
CHEMBL1754,-8.58,2,0.0,0.0,20.1,0,,ACVR1,t1_cns,1,0
CHEMBL1760,-6.364,1,0.0,0.0,10.62,0,,ACVR1,t1_cns,1,0
CHEMBL1762,-6.677,3,0.0,0.0,6.13,0,,ACVR1,t1_cns,1,0
CHEMBL1764,-7.879,2,0.0,0.0,11.4,0,,ACVR1,t1_cns,1,0
CHEMBL17860,-6.442,3,0.0,0.0,6.95,0,,ACVR1,t1_cns,1,0
CHEMBL178803,-7.165,2,0.0,0.0,44.05,0,,ACVR1,t1_cns,1,0
CHEMBL1790041,-5.681,2,0.0,0.0,21.19,0,,ACVR1,t1_cns,1,0
CHEMBL181,-6.635,3,0.0,0.0,4.68,0,,ACVR1,t1_cns,1,0
CHEMBL18116,-6.795,2,0.0,0.0,6.79,0,,ACVR1,t1_cns,1,0
CHEMBL184412,-7.174,2,0.0,0.0,90.08,0,,ACVR1,t1_cns,1,0
CHEMBL185073,-8.017,1,0.0,0.0,33.74,0,,ACVR1,t1_cns,1,0
CHEMBL1874750,-7.958,3,0.0,0.0,24.99,0,,ACVR1,t1_cns,1,0
CHEMBL1888176,-10.25,3,0.0,0.0,22.46,0,,ACVR1,t1_cns,1,0
CHEMBL188921,-6.453,2,0.0,0.0,16.78,0,,ACVR1,t1_cns,1,0
CHEMBL1900528,-7.445,3,0.0,0.0,17.48,0,,ACVR1,t1_cns,1,0
CHEMBL19019,-8.419,3,0.0,0.0,10.42,0,,ACVR1,t1_cns,1,0
CHEMBL190461,-8.049,3,0.0,0.0,15.82,0,,ACVR1,t1_cns,1,0
CHEMBL1909324,-7.89,2,0.0,0.0,40.64,0,,ACVR1,t1_cns,1,0
CHEMBL19299,-7.37,2,0.0,0.0,9.58,0,,ACVR1,t1_cns,1,0
CHEMBL193,-4.513,3,0.0,0.0,16.05,0,,ACVR1,t1_cns,1,0
CHEMBL197084,-6.252,3,0.0,0.0,23.42,0,,ACVR1,t1_cns,1,0
CHEMBL1983350,-7.233,1,0.0,0.0,7.86,0,,ACVR1,t1_cns,1,0
CHEMBL2,-8.566,2,0.0,0.0,15.41,0,,ACVR1,t1_cns,1,0
CHEMBL2028019,-8.438,2,0.0,0.0,22.06,0,,ACVR1,t1_cns,1,0
CHEMBL207538,-8.992,3,0.0,0.0,7.07,0,,ACVR1,t1_cns,1,0
CHEMBL2095212,-8.299,2,0.0,0.0,38.47,0,,ACVR1,t1_cns,1,0
CHEMBL2103822,-7.455,3,0.0,0.0,11.58,0,,ACVR1,t1_cns,1,0
CHEMBL2103827,-5.872,2,0.0,0.0,14.27,0,,ACVR1,t1_cns,1,0
CHEMBL2103837,-8.782,3,0.0,0.0,10.04,0,,ACVR1,t1_cns,1,0
CHEMBL2104095,-3.181,2,0.0,0.0,4.78,0,,ACVR1,t1_cns,1,0
CHEMBL2104356,-8.204,3,0.0,0.0,33.79,0,,ACVR1,t1_cns,1,0
CHEMBL2104993,-8.342,2,0.0,0.0,11.39,0,,ACVR1,t1_cns,1,0
CHEMBL2105233,-5.645,3,0.0,0.0,9.65,0,,ACVR1,t1_cns,1,0
CHEMBL2105275,-5.601,2,0.0,0.0,6.04,0,,ACVR1,t1_cns,1,0
CHEMBL2105581,-7.188,1,0.0,0.0,26.89,0,,ACVR1,t1_cns,1,0
CHEMBL2105760,-9.307,2,0.0,0.0,29.94,0,,ACVR1,t1_cns,1,0
CHEMBL2107011,-9.248,3,0.0,0.0,21.9,0,,ACVR1,t1_cns,1,0
CHEMBL2107726,-7.214,2,0.0,0.0,14.72,0,,ACVR1,t1_cns,1,0
CHEMBL2110774,-7.816,2,0.0,0.0,12.56,0,,ACVR1,t1_cns,1,0
CHEMBL2110805,-8.593,2,0.0,0.0,12.09,0,,ACVR1,t1_cns,1,0
CHEMBL2110816,-6.808,1,0.0,0.0,30.18,0,,ACVR1,t1_cns,1,0
CHEMBL2111030,-7.076,2,0.0,0.0,9.87,0,,ACVR1,t1_cns,1,0
CHEMBL2111097,-6.734,3,0.0,0.0,30.98,0,,ACVR1,t1_cns,1,0
CHEMBL2111101,-8.026,2,0.0,0.0,33.61,0,,ACVR1,t1_cns,1,0
CHEMBL2111112,-7.901,3,0.0,0.0,21.9,0,,ACVR1,t1_cns,1,0
CHEMBL211456,-5.39,3,0.0,0.0,6.04,0,,ACVR1,t1_cns,1,0
CHEMBL21536,-6.266,2,0.0,0.0,12.7,0,,ACVR1,t1_cns,1,0
CHEMBL2159122,-10.22,3,0.0,0.0,96.34,0,,ACVR1,t1_cns,1,0
CHEMBL21731,-8.222,2,0.0,0.0,9.65,0,,ACVR1,t1_cns,1,0
CHEMBL2178422,-8.934,3,0.0,0.0,105.72,0,,ACVR1,t1_cns,1,0
CHEMBL219916,-9.565,2,0.0,0.0,28.23,0,,ACVR1,t1_cns,1,0
CHEMBL220492,-7.15,2,0.0,0.0,12.24,0,,ACVR1,t1_cns,1,0
CHEMBL22097,-8.294,2,0.0,0.0,32.01,0,,ACVR1,t1_cns,1,0
CHEMBL2218861,-7.629,2,0.0,0.0,23.79,0,,ACVR1,t1_cns,1,0
CHEMBL2218896,-8.504,2,0.0,0.0,22.26,0,,ACVR1,t1_cns,1,0
