symbol,chembl_id,pref_name,drug_lc,mw,logp,tpsa,hbd,rotb,tag,rc,sec,reason
TNIK,CHEMBL3545060,ERYTHROMYCIN GLUCEPTATE,erythromycin gluceptate,733.9,1.79,193.9,5.0,7.0,t2_other,-9,600.14,timeout_600s（大环/高柔性分子）
TNIK,CHEMBL3545252,DOCETAXEL,docetaxel,807.9,3.26,224.4,5.0,8.0,t2_other,-9,600.15,timeout_600s（大环/高柔性分子）
TNIK,CHEMBL3545432,IXAZOMIB CITRATE,ixazomib citrate,517.1,1.54,168.3,4.0,11.0,t2_other,1,0.2,unsupported_atom_type_B（含硼药物，Vina 无法解析）
TNIK,CHEMBL3707372,VOXILAPREVIR,voxilaprevir,861.0,5.35,195.2,3.0,8.0,t2_other,-9,600.22,timeout_600s（大环/高柔性分子）
TNIK,CHEMBL3989887,TACROLIMUS,tacrolimus,804.0,4.64,178.4,3.0,7.0,t2_other,-9,600.11,timeout_600s（大环/高柔性分子）
TNIK,CHEMBL428647,PACLITAXEL,paclitaxel,853.9,3.74,221.3,4.0,10.0,t2_other,-9,600.39,timeout_600s（大环/高柔性分子）
TNIK,CHEMBL443052,TAVABOROLE,tavaborole,151.9,0.04,29.5,1.0,0.0,t2_other,1,0.28,unsupported_atom_type_B（含硼药物，Vina 无法解析）
TNIK,CHEMBL484785,CRISABOROLE,crisaborole,251.0,1.57,62.5,1.0,2.0,t2_other,1,0.29,unsupported_atom_type_B（含硼药物，Vina 无法解析）
TNIK,CHEMBL529,AZITHROMYCIN,azithromycin,749.0,1.9,180.1,5.0,7.0,t2_other,-9,600.22,timeout_600s（大环/高柔性分子）
TNIK,CHEMBL5315122,BORTEZOMIB D-MANNITOL,bortezomib d-mannitol,530.4,-1.13,183.4,6.0,13.0,t2_other,1,0.34,unsupported_atom_type_B（含硼药物，Vina 无法解析）
TNIK,CHEMBL532,ERYTHROMYCIN,erythromycin,733.9,1.79,193.9,5.0,7.0,t2_other,-9,600.08,timeout_600s（大环/高柔性分子）
VASH2,CHEMBL1136,TELITHROMYCIN,telithromycin,812.0,4.93,171.8,1.0,11.0,t2_other,-9,600.23,timeout_600s（大环/高柔性分子）
VASH2,CHEMBL1201748,CABAZITAXEL,cabazitaxel,835.9,4.57,202.4,3.0,10.0,t2_other,-9,600.13,timeout_600s（大环/高柔性分子）
VASH2,CHEMBL1660,RIFAPENTINE,rifapentine,877.0,5.65,220.1,6.0,5.0,t2_other,-9,600.1,timeout_600s（大环/高柔性分子）
VASH2,CHEMBL2218877,ERYTHROMYCIN ESTOLATE,erythromycin estolate,790.0,2.75,200.0,4.0,9.0,t2_other,-9,600.09,timeout_600s（大环/高柔性分子）
VASH2,CHEMBL2220427,ERYTHROMYCIN PROPIONATE,erythromycin propionate,790.0,2.75,200.0,4.0,9.0,t2_other,-9,600.09,timeout_600s（大环/高柔性分子）
VASH2,CHEMBL269732,TACROLIMUS ANHYDROUS,tacrolimus anhydrous,804.0,4.64,178.4,3.0,7.0,t2_other,-9,600.22,timeout_600s（大环/高柔性分子）
